text,sentiment
အကျိုးရှိတဲ့နေ့တစ်နေ့ပြီးနောက် အောင်မြင်မှုခံစားရပါတယ်, Positive  
ရုပ်ရှင်ကောင်းတစ်ကားနဲ့ နွေးထွေးတဲ့ ညနေခင်း, Positive  
ဒီစနေ၊ တနင်္ဂနွေ ဒေသခံအနုပညာပြခန်းတွေကို စူးစမ်းရှာဖွေနေပါတယ်, Positive  
ကျွန်တော့်အကြိုက်ဆုံး စာရေးဆရာဆီက စာအုပ်အသစ်ထွက်ရှိခြင်း!, Positive  
Virtual reality တွေ့ဆုံပွဲတစ်ခု တက်ရောက်နေပါတယ်, Positive  
သဘာဝတရားရဲ့ အလှတရားကို ပြန်လည်သုံးသပ်နေပါတယ်, Positive  
ချစ်ခင်ရသူတွေအတွက် အထူးညစာတစ်နပ် ချက်ပြုတ်နေပါတယ်, Positive  
လာမယ့်အပတ်အတွက် အကောင်းမြင်စိတ် ခံစားရပါတယ်, Positive  
မနက်ဖြန် ကျန်းမာရေးစိန်ခေါ်မှုအသစ်တစ်ခု စတင်တော့မယ်! 💪, Positive  
ရှုခင်းသာယာတဲ့လမ်းတွေတစ်လျှောက် တနင်္ဂနွေနေ့ စက်ဘီးစီးခြင်း, Positive  
ကျွန်တော်တို့ လူ့အဖွဲ့အစည်းမှာ ဖြစ်ပျက်နေတဲ့ မတရားမှုတွေကို မယုံနိုင်ဘူး, Anger        
သည်းထိတ်ရင်ဖိုရုပ်ရှင်တစ်ကား ကြည့်ပြီးနောက် ကြောက်ရွံ့မှု ခံစားရပါတယ်, Fear         
သဘာဝဘေးအန္တရာယ် သတင်းကြားပြီးနောက် ရင်ကွဲပက်လက်ဖြစ်ရပါတယ်, Sadness      
ကမ္ဘာ့ပတ်ဝန်းကျင် အခြေအနေက တကယ်ကို စက်ဆုပ်စရာကောင်းတယ်, Disgust      
စစ်မှန်တဲ့ ပျော်ရွှင်မှု - ချစ်ခင်ရသူတစ်ယောက်ရဲ့ အောင်မြင်မှုကို ဂုဏ်ပြုခြင်း!, Happiness    
ရယ်မောခြင်းက အကောင်းဆုံးဆေးပါပဲ—ဟာသပြပွဲတစ်ခုကို ကြည့်ရှုခံစားနေပါတယ်, Joy          
လူတိုင်းနဲ့အတူ အချစ်နဲ့ အကောင်းမြင်စိတ်ဓာတ်တွေကို မျှဝေနေပါတယ်! ❤️, Love         
ရယ်စရာကောင်းတဲ့ အဖြစ်အပျက်တစ်ခုက ကျွန်တော့်ရဲ့နေ့ကို ပျော်ရွှင်စေခဲ့တယ်, Amusement    
စာအုပ်တစ်အုပ်နဲ့ လက်ဖက်ရည်သောက်ရင်း တိတ်ဆိတ်ငြိမ်သက်တဲ့ ညနေခင်းကို ခံစားနေပါတယ်, Enjoyment    
ငြိမ်းချမ်းတဲ့ တောင်တက်ခရီးတစ်ခုအတွင်း သဘာဝတရားရဲ့ အလှကို တန်ဖိုးထားလေးစားနေပါတယ်, Admiration   
ကျွန်တော့် follower အားလုံးဆီသို့ ချစ်ခင်ကြင်နာတဲ့ ခံစားချက်တွေ ပို့သလိုက်ပါတယ်, Affection    
ရင်သပ်ရှုမောဖွယ် နေဝင်ချိန်ကို အံ့သြတကြီး ခံစားနေရပါတယ်, Awe          
ဒေသခံ စားသောက်ဆိုင်တစ်ခုက ဝန်ဆောင်မှုကို စိတ်ပျက်မိပါတယ်, Disappointed 
သူငယ်ချင်းတစ်ယောက်ဆီက အံ့အားသင့်ဖွယ် လက်ဆောင်တစ်ခုက ကျွန်တော့်ရဲ့နေ့ကို ပျော်ရွှင်စေခဲ့တယ်, Surprise     
ဘဝရဲ့ စိန်ခေါ်မှုတွေကြားထဲမှာ လက်ခံမှုကို ရှာဖွေတွေ့ရှိခြင်း, Acceptance   
ကျွန်တော့်ရဲ့ ချစ်စရာကောင်းတဲ့ အိမ်မွေးတိရစ္ဆာန်လေးအတွက် အလွန်အမင်း ချစ်ခင်မြတ်နိုးမှုတွေ ပြည့်လျှံနေပါတယ်! 🐾, Adoration    
လာမယ့်ရက်သတ္တပတ်တွေအတွင်း စိတ်လှုပ်ရှားစရာကောင်းတဲ့ စွန့်စားခန်းတစ်ခုကို မျှော်လင့်နေပါတယ်, Anticipation 
ခါးသီးတဲ့ အတွေ့အကြုံတစ်ခုက တန်ဖိုးရှိတဲ့ သင်ခန်းစာတစ်ခု ဖြစ်သွားခဲ့တယ်, Bitter       
အလုပ်များတဲ့နေ့တစ်နေ့ရဲ့ အလယ်မှာ တည်ငြိမ်မှုကို ရှာဖွေတွေ့ရှိခြင်း, Calmness     
ဆုံးဖြတ်ချက်တွေ ချမှတ်ရာမှာ ရှုပ်ထွေးမှုတွေက ကျွန်တော့်စိတ်ကို လွှမ်းခြုံနေတယ်, Confusion    
လာမယ့် အားလပ်ရက်အတွက် စိတ်လှုပ်ရှားမှုတွေ တိုးပွားလာနေပါတယ်, Excitement   
ဒီနေ့ တွေ့မြင်ခဲ့ရတဲ့ ကြင်နာမှုက လူသားမျိုးနွယ်အပေါ် ကျွန်တော့်ရဲ့ ယုံကြည်မှုကို ပြန်လည်တည်ဆောက်ပေးခဲ့တယ်, Kind         
ကိုယ်ပိုင်မှတ်တိုင်တစ်ခုကို အောင်မြင်မှုအတွက် ဂုဏ်ယူခြင်း, Pride        
မတရားမှုကို ဆန့်ကျင်မရပ်တည်ခဲ့မိတဲ့အတွက် ရှက်ရွံ့မိတဲ့အခိုက်အတန့်, Shame        
ပြင်းထန်တဲ့ ငြင်းခုံမှုတစ်ခုပြီးနောက် ဒေါသတွေ ပေါက်ကွဲနေပါတယ်, Anger        
မသိသေးတဲ့အရာတွေအပေါ် ကြောက်ရွံ့မှုက ကျွန်တော့်ကို ညဘက် အိပ်မပျော်စေဘူး, Fear         
ချစ်ခင်ရတဲ့ သူငယ်ချင်းတစ်ယောက်ကို နှုတ်ဆက်ခွဲခွာပြီးနောက် ရင်ထဲက ဝမ်းနည်းမှု, Sadness      
ကျွန်တော်တို့ လူ့အဖွဲ့အစည်းထဲက အကျင့်ပျက်ခြစားမှု အခြေအနေက လုံးဝကို စက်ဆုပ်စရာကောင်းတယ်, Disgust      
ပျော်ရွှင်မှုတွေ ပြည့်လျှံနေခြင်း - မိသားစုဝင်အသစ်တစ်ယောက်ကို ကြိုဆိုခြင်း!, Happiness    
ရယ်မောခြင်းက ပျော်ရွှင်မှုရဲ့ သော့ချက်ပါပဲ—Stand-up comedy ပွဲတစ်ခု တက်ရောက်နေပါတယ်, Joy          
ဒီလှပတဲ့နေ့လေးမှာ ကျွန်တော့် follower အားလုံးဆီသို့ အချစ်တွေ ပို့သလိုက်ပါတယ်! ❤️, Love         
ကျွန်တော့် အိမ်မွေးတိရစ္ဆာန်လေးရဲ့ ချစ်စဖွယ် အပြုအမူလေးတွေကြောင့် ပျော်ရွှင်မိခြင်း—ဒါက စစ်မှန်တဲ့ ပျော်ရွှင်မှုပါပဲ!, Amusement    
ဒီခရီးစဉ်ရဲ့ အခိုက်အတန့်တိုင်းကို ခံစားနေခြင်း—စစ်မှန်တဲ့ ပျော်ရွှင်မှု!, Enjoyment    
ဒေသခံ ပရဟိတလုပ်ငန်းတစ်ခုက စေတနာ့ဝန်ထမ်းတွေရဲ့ စိတ်အားထက်သန်မှုကို လေးစားမိပါတယ်, Admiration   
သူငယ်ချင်းတွေနဲ့ မိသားစုဆီသို့ ချစ်ခင်ကြင်နာတဲ့ ခံစားချက်တွေ ပို့သလိုက်ပါတယ်, Affection    
ညကောင်းကင်ရဲ့ အလှတရားကို အံ့သြတကြီး ငေးမောမိပါတယ်, Awe          
ကိုယ်ပိုင် ပရောဂျက်တစ်ခုမှာ တိုးတက်မှုမရှိတာကို စိတ်ပျက်မိပါတယ်, Disappointed 
သူငယ်ချင်းဟောင်းတစ်ယောက်ရဲ့ အံ့အားသင့်ဖွယ် လာရောက်လည်ပတ်မှုက ပျော်ရွှင်မျက်ရည်တွေ ကျစေခဲ့တယ်, Surprise     
ဘဝရဲ့ အနိမ့်အမြင့်တွေကို လက်ခံမှုကို ပွေ့ဖက်ခြင်း, Acceptance   
ချစ်စရာကောင်းတဲ့ ကယ်ဆယ်ထားတဲ့ ခွေးပေါက်လေးအတွက် အလွန်အမင်း ချစ်ခင်မြတ်နိုးမှုတွေ ပြည့်လျှံနေပါတယ်! 🐶, Adoration    
အရမ်းစောင့်မျှော်နေတဲ့ ရုပ်ရှင်တစ်ကား ထွက်ရှိလာဖို့ မျှော်လင့်နေပါတယ်, Anticipation 
Customer service ဌာနမှာ ခါးသီးတဲ့ အတွေ့အကြုံ, Bitter       
နေ့စဉ်ဘဝရဲ့ ရှုပ်ထွေးမှုတွေကြားထဲမှာ တည်ငြိမ်မှုကို ရှာဖွေတွေ့ရှိခြင်း, Calmness     
လတ်တလော အဖြစ်အပျက်တွေကို နားလည်အောင် ကြိုးစားရာမှာ ရှုပ်ထွေးမှုတွေက လွှမ်းမိုးနေတယ်, Confusion    
အံ့အားသင့်ဖွယ် မွေးနေ့ပါတီတစ်ခုအတွက် စိတ်လှုပ်ရှားမှုတွေ တိုးပွားလာနေပါတယ်, Excitement   
ကျွန်တော့်ရဲ့နေ့ကို ပျော်ရွှင်စေခဲ့တဲ့ ကြင်နာမှုလုပ်ရပ်တစ်ခုကို တွေ့မြင်ခဲ့ရတယ်, Kind         
စိန်ခေါ်မှုရှိတဲ့ ကျန်းမာရေးစိန်ခေါ်မှုတစ်ခုကို ပြီးမြောက်အောင်မြင်မှုအတွက် ဂုဏ်ယူခြင်း, Pride        
မတရားမှုကို ဆန့်ကျင်မပြောဆိုခဲ့မိတဲ့အတွက် ရှက်ရွံ့မိတဲ့အခိုက်အတန့်, Shame        
ကျွန်တော်တို့ ကမ္ဘာလောကထဲက ကွဲပြားမှုရဲ့ အလှတရားကို ပြန်လည်သုံးသပ်နေပါတယ်, Acceptance   
စာအုပ်ကောင်းတစ်အုပ်နဲ့ တိတ်ဆိတ်ငြိမ်သက်တဲ့ ညနေခင်းအတွက် စိတ်လှုပ်ရှားခြင်း, Excitement   
အလုပ်ခွင်ထဲက မတရားမှုတွေအပေါ် ခါးသီးမှု ခံစားရပါတယ်, Bitter       
သတိပဋ္ဌာန် ကျင့်ကြံနေချိန်မှာ တည်ငြိမ်မှုက လွှမ်းမိုးနေပါတယ်, Calmness     
ဘဝရဲ့ ရွေးချယ်မှုတွေကြားထဲမှာ လမ်းညွှန်ရာမှာ ရှုပ်ထွေးမှုတွေက ကျွန်တော့်ကို ဝန်းရံနေတယ်, Confusion 
နေရာအသစ်တွေ စူးစမ်းဖို့ စနေ၊ တနင်္ဂနွေ ကားနဲ့ခရီးထွက်ဖို့ စိတ်လှုပ်ရှားခြင်း, Excitement 
ဒီနေ့ တွေ့မြင်ခဲ့ရတဲ့ ကြင်နာမှုက လူသားမျိုးနွယ်အပေါ် ကျွန်တော့်ရဲ့ ယုံကြည်မှုကို ပြန်လည်တည်ဆောက်ပေးခဲ့တယ်, Kind         
ကိုယ်ပိုင်နဲ့ အသက်မွေးဝမ်းကျောင်းဆိုင်ရာ ပန်းတိုင်တွေကို အောင်မြင်မှုအတွက် ဂုဏ်ယူခြင်း, Pride        
ခက်ခဲတဲ့ အခြေအနေတစ်ခုမှာ ကိုယ့်တန်ဖိုးတွေကို သစ္စာမရှိခဲ့မိတဲ့အတွက် ရှက်ရွံ့ခြင်း, Shame 
အမှတ်တရဟောင်းတွေကို ပြန်လည်လည်ပတ်ရင်း၊ ရွှင်လန်းတက်ကြွမှု ခံစားရပါတယ်, Elation       
ကျွန်တော်တို့အသင်းရဲ့ အောင်ပွဲက မြို့အတွက် အလွန်အမင်း ပျော်ရွှင်မှုကို ဆောင်ကြဉ်းပေးခဲ့တယ်, Euphoria      
သဘာဝတရားရဲ့ အလှကို ပွေ့ဖက်ရင်း၊ ကျေနပ်မှုရရှိတဲ့ အခိုက်အတန့်, Contentment   
တည်ငြိမ်အေးချမ်းတဲ့ ကန်နဘေးမှာ တရားထိုင်ရင်း၊ အတွင်းစိတ် ငြိမ်းချမ်းမှုကို ရှာဖွေတွေ့ရှိခြင်း, Serenity      
ဘဝရဲ့ ကောင်းချီးမင်္ဂလာတွေအတွက် ကျေးဇူးတင်မှုတွေ ပြည့်လျှံနေပါတယ်, Gratitude     
စိန်ခေါ်မှုတွေကြားကပဲ၊ ပိုမိုတောက်ပတဲ့ မနက်ဖြန်အတွက် မျှော်လင့်ချက်ရှိပါတယ်, Hope          
ကျွန်တော့်ရဲ့ လူမှုအသိုင်းအဝိုင်းမှာ ပြောင်းလဲမှုတစ်ခု ပြုလုပ်ဖို့ စွမ်းဆောင်နိုင်မှု ခံစားရပါတယ်, Empowerment   
လက်တွေ့လုပ်ဆောင်မှုထဲက ကရုဏာတရား - ဒေသခံ ပရဟိတပွဲတစ်ခုကို ပံ့ပိုးကူညီခြင်း, Compassion    
ချစ်ခင်ရသူတွေနဲ့ ချိတ်ဆက်ရင်း၊ နူးညံ့ကြင်နာမှု ခံစားရတဲ့ အခိုက်အတန့်, Tenderness    
အထူးကြေညာချက်တစ်ခုကို စောင့်မျှော်နေချိန်မှာ စိတ်လှုပ်ရှားမှုတွေ ဖြစ်ပေါ်လာခြင်း, Arousal       
ပရောဂျက်အသစ်တစ်ခုထဲသို့ စိတ်အားထက်သန်စွာ ခုန်ဆင်းဝင်ရောက်ခြင်း, Enthusiasm    
မှတ်တိုင်တစ်ခုကို ရောက်ရှိပြီးနောက် ပြည့်စုံမှု ခံစားရပါတယ်, Fulfillment  
သမိုင်းဝင် အထင်ကရနေရာတစ်ခုရဲ့ အလှတရားအတွက် ရိုသေလေးစားမှု, Reverence     
သူငယ်ချင်းဟောင်းတွေနဲ့ အံ့အားသင့်ဖွယ် ပြန်လည်ဆုံစည်းပြီးနောက် ရွှင်လန်းတက်ကြွမှု, Elation       
ကြယ်တွေအောက်က တိုက်ရိုက်ဂီတဖျော်ဖြေပွဲတစ်ခုရဲ့ အလွန်အမင်း ပျော်ရွှင်မှု, Euphoria      
တိတ်ဆိတ်ငြိမ်သက်တဲ့ တနင်္ဂနွေနေ့ရဲ့ ရိုးရှင်းမှုထဲက ကျေနပ်မှု, Contentment   
အကြိုက်ဆုံး စာအုပ်တစ်အုပ်ရဲ့ စာမျက်နှာတွေထဲမှာ တွေ့ရှိရတဲ့ တည်ငြိမ်အေးချမ်းမှု, Serenity      
ခက်ခဲတဲ့အချိန်တွေမှာ ရရှိခဲ့တဲ့ အားပေးကူညီမှုတွေအတွက် ကျေးဇူးတင်ခြင်း, Gratitude     
ခရီးစဉ်အသစ်တစ်ခုရဲ့ ဖြစ်နိုင်ခြေတွေအပေါ် မျှော်လင့်ချက်ရှိခြင်း, Hope          
သင်ယူမှုနဲ့ ကိုယ်ပိုင်တိုးတက်မှုကနေတစ်ဆင့် စွမ်းဆောင်နိုင်မှု မြင့်တက်လာခြင်း, Empowerment   
အားလပ်ရက်တွေအတွင်း လိုအပ်နေသူတွေအပေါ် ကရုဏာထားခြင်း, Compassion    
နွေးထွေးတဲ့ ဆောင်းရာသီညနေခင်းရဲ့ နွေးထွေးမှုထဲက နူးညံ့ကြင်နာမှု, Tenderness    
လာမယ့် စွန့်စားခန်းတစ်ခုအတွက် စိတ်လှုပ်ရှားမှုတွေ ဖြစ်ပေါ်လာခြင်း, Arousal       
ဖန်တီးမှု ပရောဂျက်အသစ်တစ်ခုအတွက် စိတ်အားထက်သန်မှု, Enthusiasm    
စိန်ခေါ်မှုရှိတဲ့ လေ့ကျင့်ခန်းတစ်ခုကို ပြီးမြောက်အောင်မြင်ခြင်းအတွက် ပြည့်စုံမှု, Fulfillment  
ပြတိုက်တစ်ခုမှာ ပြသထားတဲ့ အနုပညာလက်ရာတွေအတွက် ရိုသေလေးစားမှု, Reverence     
ကိုယ်ပိုင်ပန်းတိုင်တစ်ခုကို အောင်မြင်ပြီးနောက် ရွှင်လန်းတက်ကြွမှု, Elation       
မြို့ထဲက လျှို့ဝှက်နေရာလေးတစ်ခုကို ရှာဖွေတွေ့ရှိခြင်းအပေါ် ရွှင်လန်းတက်ကြွမှု, Elation       
အံ့အားသင့်ဖွယ် မွေးနေ့ပွဲတစ်ခုရဲ့ အလွန်အမင်း ပျော်ရွှင်မှု, Euphoria      
အိမ်ချက်ဟင်းတစ်နပ်ရဲ့ ရိုးရှင်းမှုထဲက ကျေနပ်မှု, Contentment   
ငြိမ်းချမ်းတဲ့ စန္ဒယားသံစဉ်ထဲမှာ တွေ့ရှိရတဲ့ တည်ငြိမ်အေးချမ်းမှု, Serenity      
ကျွန်တော့်ပတ်ဝန်းကျင်က အားပေးကူညီတဲ့ လူမှုအသိုင်းအဝိုင်းအတွက် ကျေးဇူးတင်ခြင်း, Gratitude     
စီးပွားရေးလုပ်ငန်းအသစ်တစ်ခုရဲ့ အလားအလာတွေအပေါ် မျှော်လင့်ချက်ရှိခြင်း, Hope          
အခြားသူတွေကို လမ်းညွှန်ပေးခြင်းနဲ့ အကြံဉာဏ်ပေးခြင်းကနေတစ်ဆင့် စွမ်းဆောင်နိုင်မှု မြင့်တက်လာခြင်း, Empowerment   
လူမှုအသိုင်းအဝိုင်းထဲက ကြင်နာမှုလုပ်ရပ်တွေကနေတစ်ဆင့် ပြသတဲ့ ကရုဏာတရား, Compassion
ချစ်ခင်ရသူတစ်ယောက်ဆီသို့ ရင်ထဲက စာတစ်စောင်ထဲက နူးညံ့ကြင်နာမှု, Tenderness    
အရမ်းစောင့်မျှော်နေတဲ့ ခရီးစဉ်တစ်ခု မတိုင်ခင် စိတ်လှုပ်ရှားမှုတွေ ဖြစ်ပေါ်လာခြင်း, Arousal       
အလုပ်လုပ်နေဆဲ အနုပညာ ပရောဂျက်အသစ်တစ်ခုအတွက် စိတ်အားထက်သန်မှု, Enthusiasm    
အခြားသူတွေကို ကူညီပြီးနောက် ပြည့်စုံမှု ခံစားရပါတယ်, Fulfillment   
အထင်ကရနေရာတစ်ခုရဲ့ သမိုင်းဝင် အရေးပါမှုအတွက် ရိုသေလေးစားမှု, Reverence 
ကျန်းမာရေး မှတ်တိုင်တစ်ခုကို အောင်မြင်ပြီးနောက် ရွှင်လန်းတက်ကြွမှု, Elation       
အောင်မြင်တဲ့ ထုတ်ကုန်မိတ်ဆက်ပွဲတစ်ခုရဲ့ အလွန်အမင်း ပျော်ရွှင်မှု, Euphoria      
ချစ်ခင်ရသူတစ်ယောက်ရဲ့ ပွေ့ဖက်မှုထဲက ကျေနပ်မှု, Contentment   
ပင်လယ်ကမ်းစပ်က နေဝင်ချိန်အလှထဲမှာ တွေ့ရှိရတဲ့ တည်ငြိမ်အေးချမ်းမှု, Serenity      
နေ့ရက်တိုင်းက ယူဆောင်လာတဲ့ သေးငယ်တဲ့ ပျော်ရွှင်မှုလေးတွေအတွက် ကျေးဇူးတင်ခြင်း, Gratitude     
ကိုယ်ပိုင်တိုးတက်မှုအတွက် အလားအလာအပေါ် မျှော်လင့်ချက်ရှိခြင်း, Hope          
ကျွမ်းကျင်မှုအသစ်တစ်ခု သင်ယူခြင်းကနေတစ်ဆင့် စွမ်းဆောင်နိုင်မှု မြင့်တက်လာခြင်း, Empowerment   
ဒေသခံ ပရဟိတလုပ်ငန်းတစ်ခုအတွက် စေတနာ့ဝန်ထမ်းလုပ်ခြင်းထဲက ကရုဏာတရား, Compassion    
အိမ်မွေးတိရစ္ဆာန်လေးနဲ့ မျှဝေခံစားရတဲ့ တိတ်ဆိတ်ငြိမ်သက်တဲ့ အခိုက်အတန့်ထဲက နူးညံ့ကြင်နာမှု, Tenderness    
လာမယ့် ပွဲတော်တစ်ခုအတွက် စိတ်လှုပ်ရှားမှုတွေ ဖြစ်ပေါ်လာခြင်း, Arousal       
ကိုယ်တိုင်လုပ် အိမ်ပြုပြင်မွမ်းမံရေး ပရောဂျက်တစ်ခုအတွက် စိတ်အားထက်သန်မှု, Enthusiasm    
စိန်ခေါ်မှုရှိတဲ့ ပဟေဠိတစ်ခုကို ဖြေရှင်းပြီးမြောက်ခြင်းအတွက် ပြည့်စုံမှု, Fulfillment   
တောင်တက်လမ်းတစ်ခုပေါ်က သဘာဝတရားရဲ့ အံ့ဖွယ်ရာတွေအတွက် ရိုသေလေးစားမှု, Reverence 
ငယ်သူငယ်ချင်းတစ်ယောက်နဲ့ အံ့အားသင့်ဖွယ် ပြန်လည်ဆုံစည်းပြီးနောက် ရွှင်လန်းတက်ကြွမှု, Elation   
နောက်ထပ် အဆင်မပြေမှုတစ်ခုပြီးနောက် စိတ်ပျက်အားငယ်မှု ခံစားနေရပါတယ်, Despair         
ဝမ်းနည်းပူဆွေးမှုတွေ လွှမ်းမိုးပြီး၊ ချစ်ခင်ရသူတစ်ယောက်ကို အရမ်းလွမ်းဆွတ်နေပါတယ်, Grief           
ညဉ့်နက်လာတာနဲ့အမျှ အထီးကျန်မှုက တိတ်တဆိတ် ဝင်ရောက်လာတယ်, Loneliness      
အခြားသူတွေရဲ့ အောင်မြင်မှုကို မြင်တွေ့ရချိန်မှာ မနာလိုဝန်တိုမှုက ကျွန်တော့်ကို လွှမ်းခြုံသွားတယ်, Jealousy        
အတိတ်က သစ္စာဖောက်မှုတွေအပေါ် နာကြည်းမှုတွေ တိုးပွားလာနေတယ်, Resentment      
အတားအဆီးတွေက ကျွန်တော့်လမ်းကို ပိတ်ဆို့နေချိန်မှာ စိတ်ပျက်မှုတွေ တိုးမြင့်လာတယ်, Frustration     
ပျင်းရိငြီးငွေ့မှု ဝင်လာပြီး၊ နေ့ရက်က အဆုံးမရှိ ငြီးငွေ့ဖွယ်ကောင်းတယ်လို့ ခံစားရတယ်, Boredom         
စိုးရိမ်ပူပန်မှုက ကျွန်တော့်နှလုံးသားကို ဆုပ်ကိုင်ထားပြီး၊ စိုးရိမ်စိတ်တွေက ကျွန်တော့်အတွေးတွေကို ဖုံးလွှမ်းနေတယ်, Anxiety         
ရှေ့ဆက်ရမယ့် မသိသေးတဲ့ အနာဂတ်ကြောင့် ကြောက်ရွံ့ထိတ်လန့်မှု, Intimidation    
စိန်ခေါ်မှုတွေ စုပုံလာချိန်မှာ အကူအညီမဲ့မှု ခံစားချက်က နစ်မြုပ်လာတယ်, Helplessness    
