emotion_class,cleaned_text,emotion_clean
,အ လုပ် ကို သေ သေ ချာ ချာ မ လုပ် ဘဲ လော ကတ် ဝတ် လုပ် တာ စိတ် တို စ ရာ,Neutral
anger,အ ခွင့် အ လမ်း တွေ ရဲ့ ရ တ နာ သေတ် တာ ကို စိုက် ကြည့် နေ တဲ့ ငြူ စူ တဲ့ မျက် လုံး တွေ ၊ ထာ ဝ ရ ရှောင် တိမ်း နေ ပုံ ပေါ် တဲ့ သော့ တွေ အ တွက် ဆန် ဒ က တွန်း အား ပေး တဲ့ နှ လုံး သား နာ ကျင် မှု,Anger
sadness,ကိုယ့် ကိုယ် ကိုယ် ယုံ ကြည် မှု တွေ ပျောက် ဆုံး ပြီး လမ်း ပျောက် နေ သ လို ခံ စား နေ ရ တယ်,Sadness
love,မင်း ရဲ့ အ ပြုံး က ငါ့ ဘ ဝ ရဲ့ တစ် ခု တည်း သော အ လင်း ရောင် ပါ,Love
sadness,နေ ဝင် ချိန် ကို ငေး ကြည့် ရင်း ၊ အ ချိန် ရဲ့ လက် ချောင်း တွေ ကြား က နေ လျှော ကျ သွား တဲ့ အ ခိုက် အ တန့် တွေ အ တွက် ဝမ်း နည်း ဖွယ် တမ်း တ မှု,Sadness
sadness,ကျောင်း မုန့် ဖုတ် ရောင်း ပွဲ အ တွက် recipe အ သစ် တစ် ခု နဲ့ စမ်း သပ် နေ ပါ တယ် မီး ဖို ချောင် ထဲ က မုန့် ဖုတ် စွန့် စား ခန်း များ,Sadness
sadness,အ ထီး ကျန် မှု ရဲ့ ပဲ့ တင် သံ တွေ ၊ စိတ် ဝိ ညာဉ် နဲ့ သူ့ ရဲ့ အ ရိပ် တွေ ကြား က တိတ် ဆိတ် တဲ့ စ ကား ပြော ဆို မှု,Sadness
suprise,စာ တိုက် က နေ ငါ့ ဆီ ကို ပါ ဆယ် ထုပ် တစ် ခု ရောက် လာ တယ် ဘယ် သူ့ ဆီ က လဲ ၊,Neutral
fear,ဗုံး ခို ကျင်း ထဲ မှာ ပုန်း နေ ရ တဲ့ ခံ စား ချက် က ခြောက် ခြား စ ရာ ပဲ,Fear
sadness,နောက် ထပ် အ ဆင် မ ပြေ မှု တစ် ခု ပြီး နောက် စိတ် ပျက် အား ငယ် မှု ခံ စား နေ ရ ပါ တယ်,Sadness
neutral,ကိုယ့် ကို ကိုယ် သ နား မိ ပြီး မျက် ရည် တွေ အ လို လို စီး ကျ လာ ရ တဲ့ နေ့ တစ် နေ့,Neutral
suprise,အံ့ ဩ လွန်း လို့ ရင် တွေ တောင် တ ဒိန်း ဒိန်း ခုန် နေ ပြီ ၊ ဒါ တ ကယ် ကြီး ဖြစ် ပျက် နေ တာ လား,Neutral
anger,ကိုယ့် အ ပေါ် သစ် စာ ဖောက် သွား တာ ကို ဘယ် တော့ မှ ခွင့် မ လွှတ် နိုင် ဘူး,Anger
joy,Coding လော က ကို စူး စမ်း ရှာ ဖွေ နေ ပါ တယ် Debugging လုပ် တာ က သူ့ ဘာ သာ သူ စွန့် စား ခန်း တစ် ခု !#Coding ခ ရီး စဉ် # အ ထက် တန်း ကျောင်း သား Coder,Joy
suprise,အိပ် မက် ထဲ မှာ တောင် မ မက် ဖူး တဲ့ ကိစ် စ တစ် ခု က အ ခု မျက် စိ ရှေ့ မှာ လက် တွေ့ ဖြစ် နေ ပြီ,Neutral
love,မင်း ရဲ့ အား နည်း ချက် တွေ ကို ပါ ချစ် မြတ် နိုး ဖို့ ငါ အ သင့် ရှိ ပါ တယ်,Love
anger,ငါ့ ကို လာ ပြီး ချ နင်း ဖို့ မ ကြိုး စား နဲ့ လို့ ရင် ထဲ က ကျိန်း ဝါး မိ တယ်,Anger
love,မင်း ရဲ့ နူး ညံ့ တဲ့ အ ကြည့် လေး တွေ က ငါ့ ကို အ မြဲ ရင် ခုန် စေ တယ်,Love
love,မိ သား စု ပြန် လည် ဆုံ စည်း ပွဲ အ တွင်း မျှ ဝေ ခံ စား ခဲ့ ရ တဲ့ ရယ် မော သံ တွေ အ တွက် ရင် ထဲ က ကျေး ဇူး တင် ခြင်း,Love
joy,ပြေး ခုန် ပစ် ပြိုင် ပွဲ တစ် ခု မှာ ကိုယ် ပိုင် အ ကောင်း ဆုံး စံ ချိန် ရ ရှိ ခြင်း အောင် ပွဲ ရဲ့ သည်း ထိတ် ရင် ဖို မှု နဲ့ မိ မိ ကိုယ် ကို တိုး တက် မှု !,Joy
love,မင်း နဲ့ အ တူ တည် ဆောက် မယ့် အိမ် က လေး က ကမ် ဘာ ပေါ် မှာ အ လှ ဆုံး ဖြစ် ရ မယ်,Love
neutral,တစ် ခါ တ လေ တော့ လည်း အ ရာ ရာ ကို ပစ် ချ ပြီး တစ် နေ ရာ ရာ ကို ထွက် ပြေး ချင် မိ တယ်,Neutral
fear,နာ တာ ရှည် ရော ဂါ ဝေ ဒ နာ ခံ စား ရ မှာ ကို တွေး ပြီး တုန် လှုပ် တယ်,Fear
anger,လူ့ အ ဖွဲ့ အ စည်း ကို စွန်း ထင်း စေ တဲ့ အ ကျင့် ပျက် ခြ စား မှု အ ပေါ် စက် ဆုပ် ရွံ ရှာ မှု,Anger
joy,နောက် ဆုံး ပေါ် ဖက် ရှင် ခေတ် ရေ စီး ကြောင်း တွေ ကို လိုက် မီ ပြီး အ ခု ဈေး ဝယ် ထွက် ဖို့ စီ စဉ် နေ ပါ တယ် # ဖက် ရှင် ကျ သူ # ခေတ် မှီ ဆယ် ကျော် သက်,Joy
neutral,အောင် မြင် မှု ရဲ့ ဂုဏ် ပြု ပွဲ ထဲ မှာ ၊ ပြီး မြောက် မှု ရဲ့ မီး ရှူး မီး ပန်း တွေ က အောင် ပွဲ ရဲ့ ည ကောင်း ကင် ကို လင်း ထိန် စေ ခြင်း,Neutral
neutral,သူ ငယ် ချင်း က မွေး နေ့ လက် ဆောင် အ ဖြစ် ငါ အ ကြိုက် ဆုံး အ ရာ လေး ပေး လို့ အံ့ သြ သွား တယ်,Neutral
fear,ဗုံး ပေါက် ကွဲ သံ ကြား လိုက် ရ လို့ အ သက် ပင် ရှူ ဖို့ မေ့ သွား တယ်,Fear
suprise,ဒီ လို မျိုး အ လှည့် အ ပြောင်း ဖြစ် သွား လိမ့် မယ် လို့ ဘယ် သူ က မှ ကြို တင် မ ခန့် မှန်း နိုင် ခဲ့ ဘူး,Neutral
love,ကျွန် တော့် follower အား လုံး ဆီ သို့ ချစ် ခင် ကြင် နာ တဲ့ ခံ စား ချက် တွေ ပို့ သ လိုက် ပါ တယ်,Love
neutral,ဘာ မှ အ ကြောင်း မ ရှိ ဘဲ စိတ် ထဲ မှာ ဝမ်း နည်း သ လို လို ဖြစ် ပြီး ငို ချင် နေ တယ်,Neutral
joy,စီး ပွား ရေး လုပ် ငန်း အ သစ် တစ် ခု ရဲ့ အ လား အ လာ တွေ အ ပေါ် မျှော် လင့် ချက် ရှိ ခြင်း,Joy
fear,ဝံ ပု လွေ တွေ ရဲ့ အူ သံ က ညဉ့် နက် သန်း ခေါင် မှာ ကျော ချမ်း စ ရာ ပဲ,Fear
joy,ယုံ ကြည် မှု နဲ့ လှမ်း လျှောက် နေ ခြင်း ၊ မိ မိ ကိုယ် ကို ယုံ ကြည် မှု ရဲ့ ခြေ ရာ တွေ ကို အောင် နိုင် ခဲ့ တဲ့ စိန် ခေါ် မှု တွေ နဲ့ ရ ယူ ခဲ့ တဲ့ အောင် ပွဲ တွေ ရဲ့ သဲ သောင် ပြင် ပေါ် မှာ ရိုက် နှိပ် ထား ခြင်း,Joy
joy,ဖန် တီး မှု ပ ရော ဂျက် အ သစ် တစ် ခု အ တွက် စိတ် အား ထက် သန် မှု,Joy
anger,အ ရာ ရာ ကို ကိုယ် ပဲ အ ရှုံး ပေး နေ ရ တာ တ ကယ် ကို ရင် နာ ပြီး ဒေါ သ ထွက် တယ်,Anger
anger,လူ တစ် ဖက် သား နာ ကျင် တာ ကို ပျော် နေ တဲ့ သူ တွေ ကို အော့ နှ လုံး နာ တယ်,Anger
suprise,အ ရာ ရာ က မ မျှော် လင့် ဘဲ နဲ့ အ ကွက် ကျ ကျ အ ဆင် ပြေ သွား တာ တ ကယ့် ကို အံ့ ဩ စ ရာ ပဲ,Neutral
love,မင်း ကို ချစ် ခြင်း က ငါ့ ဘ ဝ ရဲ့ အ ဓိ က သော့ ချက် ပဲ,Love
love,မင်း နဲ့ အ တူ အိပ် စက် ပြီး မင်း နဲ့ အ တူ နိုး ထ ချင် တယ်,Love
suprise,အား လုံး ရဲ့ ရှေ့ မှာ အ ခု လို ချီး ကျူး ခံ ရ လိမ့် မယ် လို့ တစ် ခါ မှ မျှော် လင့် မ ထား ခဲ့ ဖူး ဘူး,Neutral
suprise,ခြံ ထဲ က သ ရက် ပင် မှာ သ ရက် သီး တွေ အ ပြွတ် လိုက် သီး နေ ပါ လား ၊,Neutral
love,မင်း ကို နေ့ တိုင်း ပို ပြီး တန် ဖိုး ထား တတ် လာ တယ်,Love
love,မင်း ရဲ့ အ မော အ ပန်း တွေ ကို ငါ့ ရဲ့ မေတ် တာ တွေ နဲ့ ဆေး ကြော ပေး မယ်,Love
neutral,သူ ငယ် ချင်း တွေ နဲ့ ဆုံ ဖြစ် ပေ မဲ့ အ ရင် လို မ ရယ် မော နိုင် တော့ ဘဲ ဟန် ဆောင် နေ ရ တဲ့ နေ့,Neutral
neutral,အိပ် ချင် နေ ပြီ ဒါ ပေ မဲ့ ဖုန်း က လည်း လက် က မ ချ နိုင် သေး ဘူး ဖြစ် နေ တယ်,Neutral
joy,လူ ထု ပန်း ချီ ရေး ဆွဲ ပွဲ တစ် ခု စီ စဉ် ခဲ့ တယ် ၊ ဗ လာ ပန်း ချီ ကား ချပ် တွေ ကို မျှ ဝေ ခံ စား ရ တဲ့ ဖန် တီး မှု ရဲ့ လက် ရာ မြောက် ပန်း ချီ ကား တစ် ခု အ ဖြစ် သို့ ပြောင်း လဲ ခြင်း # ပန်း ချီ ရေး ဆွဲ ပွဲ # အ ကြီး တန်း အ နု ပ ညာ ရှင်,Joy
joy,ဒေ သ ခံ ပြ ဇာတ် ထုတ် လုပ် မှု တစ် ခု မှာ ပါ ဝင် ခဲ့ တယ် ၊ စင် မြင့် က အ သက် အ ရွယ် တိုင်း နဲ့ သက် ဆိုင် တယ် ဆို တာ သက် သေ ပြ နေ ခြင်း # ပြ ဇာတ် ထုတ် လုပ် မှု # အ ကြီး တန်း သ ရုပ် ဆောင်,Joy
suprise,ရုတ် တ ရက် ကြီး အ ရာ ရာ က ရှင်း လင်း သွား ပြီး သ တင်း ကောင်း တွေ ချည်း စု ပြုံ ရောက် လာ တယ်,Neutral
suprise,သူ့ ရဲ့ နွေး ထွေး တဲ့ လက် ဆောင် လေး ကြောင့် တစ် နေ့ တာ လုံး အံ့ ဩ ဝမ်း သာ မှု တွေ နဲ့ ပြည့် နှက် သွား တယ်,Neutral
fear,ဒီ လို နှင်း ခဲ နေ တဲ့ လမ်း ပေါ် မှာ ကား ချော် မှာ ကို ကြောက် တယ်,Fear
love,က ရု ဏာ တ ရား ရှိ တဲ့ မိုး ၊ စာ နာ မှု ရဲ့ မျက် ရည် တွေ က ညင် သာ စွာ ကျ ဆင်း နေ ပြီး ၊ လူ သား ဆက် ဆံ ရေး တွေ ရဲ့ ဥ ယျာဉ် ထဲ က ကြင် နာ မှု ရဲ့ မျိုး စေ့ တွေ ကို ပြု စု ပျိုး ထောင် ပေး ခြင်း,Love
sadness,ပ ဋိ ပက် ခ ဖြစ် နေ တဲ့ စိတ် ခံ စား မှု တွေ ကြား မှာ စိတ် နှစ် ခွ ဖြစ် နေ ခြင်း ၊ ကျွန် တော့် ရဲ့ ဆုံး ဖြတ် ချက် တွေ ကို မ သေ ချာ မ ရေ ရာ မှု အ ရိပ် တွေ နဲ့ ခြယ် မှုန်း တဲ့ စိတ် နှစ် ခွ ဖြစ် ခြင်း,Sadness
joy,လတ် လတ် ဆတ် ဆတ် ဖုတ် ထား တဲ့ ပေါင် မုန့် ရဲ့ ရ နံ့ က လေ ထဲ မှာ ပြည့် နှက် နေ ချိန် မှာ ကျေ နပ် မှု က လွှမ်း ခြုံ လာ ပါ တယ်,Joy
joy,လာ မယ့် အ ပတ် အ တွက် အ ကောင်း မြင် စိတ် ခံ စား ရ ပါ တယ်,Joy
joy,ရှု ခင်း သာ ယာ တဲ့ လမ်း တွေ တစ် လျှောက် တ နင်္ ဂ နွေ နေ့ စက် ဘီး စီး ခြင်း,Joy
joy,ဘ ဝ ရဲ့ မ ပြည့် စုံ မှု တွေ ကို ပွေ့ ဖက် ရင်း ၊ ခ ရီး စဉ် ထဲ မှာ လက် ခံ မှု ကို ရှာ ဖွေ တွေ့ ရှိ ခြင်း ၊ အ မာ ရွတ် တွေ အ ပါ အ ဝင်,Joy
love,မင်း ကို တန် ဖိုး ထား ပြီး အ မြဲ ယု ယု ယ ယ စောင့် ရှောက် သွား မယ်,Love
anger,စ ကား ပြော ရင် ရိုင်း ရိုင်း စိုင်း စိုင်း လာ ပြော တာ ကို လုံး ဝ သည်း မ ခံ ဘူး,Anger
joy,မော်လ် ဒိုက် ရဲ့ ကောင်း ကင် ပြာ ရောင် ရေ ပြင် ပေါ် မှာ ရွက် လွှင့် နေ ခြင်း ၊ လှိုင်း လုံး တိုင်း က ပ ရ ဒိ သု ဘုံ ထဲ က တည် ငြိမ် အေး ချမ်း မှု ရဲ့ တီး တိုး သံ,Joy
neutral,အ ဝတ် လျှော် ပြီး နေ လှန်း ထား တဲ့ အ ဝတ် တွေ ရဲ့ အ နံ့ က တ ကယ့် ကို လန်း ဆန်း စေ တယ်,Neutral
anger,တာ ဝန် မဲ့ တဲ့ စ ကား လုံး တွေ ကြောင့် အ လုပ် တွေ ပျက် စီး ကုန် ပြီ,Anger
neutral,အ လ ကား နေ ရင်း ဝမ်း နည်း စိတ် တွေ ဝင် လာ ပြီး တစ် ယောက် တည်း ရှိ ချင် နေ တဲ့ နေ့,Neutral
sadness,မျှော် လင့် ချက် ရဲ့ အ ပျက် အ စီး တွေ ထဲ မှာ ၊ ကွဲ ကြေ သွား တဲ့ အိပ် မက် တွေ ရဲ့ ပဲ့ တင် သံ တွေ က ဆုံး ရှုံး မှု ရဲ့ ပုံ ပြင် တွေ ကို တီး တိုး ပြော ပြ နေ ခြင်း,Sadness
anger,အ ခြေ အ နေ ကို မ သုံး သပ် ဘဲ စိတ် ကောက် နေ တာ တ ကယ် စိတ် မ ရှည် စ ရာ,Anger
neutral,GunsN'Roses ပွဲ မှာ တီး ခတ် နေ ခြင်း ၊ 'SweetChildo'Mine' ရဲ့ အ ထင် က ရ ဂစ် တာ သံ တွေ က ည ဘက် မှာ ပဲ့ တင် ထပ် နေ ခြင်း,Neutral
joy,က ပွဲ ခန်း မ အ က သင် ယူ ခြင်း စ တင် လိုက် တယ် ၊ က ပွဲ ကြမ်း ပြင် ပေါ် မှာ ကျက် သ ရေ ရှိ စွာ လျှော တိုက် က ခုန် နေ ခြင်း ခြေ လှမ်း တိုင်း မှာ အ သက် အ ရွယ် မ ရွေး ကျက် သ ရေ ရှိ မှု # က ပွဲ ခန်း မ အ က # အ ကြီး တန်း အ က သ မား,Joy
love,မင်း ကို ထာ ဝ ရ တန် ဖိုး ထား ပြီး သစ် စာ ရှိ ရှိ ချစ် သွား မယ်,Love
neutral,ပန်း ဥ ယျာဉ် တစ် ခု က တက် ကြွ တဲ့ အ ရောင် အ သွေး တွေ နဲ့ ဝန်း ရံ ထား ခြင်း ၊ ဥ ယျာဉ် မှူး က ပန်း ပွင့် တွေ ကို ပြု စု ပျိုး ထောင် ပြီး ၊ သ ဘာ ဝ တ ရား ရဲ့ အ မြဲ တမ်း ပြောင်း လဲ နေ တဲ့ ပန်း ချီ ကား ချပ် ရဲ့ အ လှ တ ရား ထဲ မှာ ပျော် ရွှင် မှု ကို ရှာ ဖွေ တွေ့ ရှိ ခြင်း,Neutral
anger,စ ကား ပြော ရင် အ မြဲ တမ်း ရွဲ့ စောင်း ပြော နေ တာ ကို စိတ် မ ရှည် တော့ ဘူး,Anger
suprise,ဟင် ... ဒါ ငါ့ အ တွက် တ ကယ် ပြင် ဆင် ပေး ထား တာ လား ၊ တ ကယ့် ကို မ မျှော် လင့် ထား တဲ့ Surprise ပဲ,Neutral
neutral,ဒီ နေ့ အ လုပ် ထဲ မှာ ဆူ ခံ ရ လို့ စိတ် ညစ် ပြီး ဘာ မှ မ လုပ် ချင် တော့ ဘူး,Neutral
love,မင်း ကို ချစ် ရ တာ ငါ့ ဘ ဝ ရဲ့ အ ကြီး မား ဆုံး အောင် မြင် မှု ပဲ,Love
fear,ည ဘက် လမ်း လျှောက် ရင် လု ယက် ခံ ရ မ လား ဆို တဲ့ စိုး ရိမ် စိတ် ရှိ တယ်,Fear
joy,စိန် ခေါ် မှု ရှိ တဲ့ တောင် တက် လမ်း တစ် ခု ကို အောင် နိုင် ပြီး နောက် စွမ်း ဆောင် နိုင် မှု ခံ စား ရ ပါ တယ်,Joy
fear,မျှော် လင့် ချက် တွေ ရဲ့ ဝင်္ က ပါ ကြောင့် လွှမ်း မိုး ခံ နေ ရ ခြင်း ၊ ဝင်္ က ပါ ထဲ မှာ ပုန်း အောင်း နေ ပြီး ၊ ကြံ့ ကြံ့ ခံ နိုင် ရည် ရဲ့ စိတ် ဓာတ် ကို ဝါး မြို ဖို့ စောင့် ဆိုင်း နေ တဲ့ ဖိ အား ရဲ့ မီ နို တော,Fear
sadness,ဝမ်း နည်း ဖွယ် ပဲ့ တင် သံ တွေ ၊ ဆုံး ရှုံး မှု ရဲ့ ကြိုး တွေ နဲ့ တီး ခတ် တဲ့ နာ ကျင် မှု ရဲ့ သံ စုံ တီး ဝိုင်း,Sadness
suprise,ဒီ သီ ချင်း က ငါ ငယ် ငယ် က အ မြဲ နား ထောင် တဲ့ သီ ချင်း ပဲ ပြန် ကြား ရ တာ အံ့ သြ တယ် ၊,Neutral
love,မင်း ကို ချစ် ရ တဲ့ အ တွက် ငါ့ ကိုယ် ငါ သိပ် ကို ကံ ကောင်း တယ် လို့ ထင် မိ တယ်,Love
anger,ဘာ မှ မ လုပ် ပေး ဘဲ အ ပြစ် ပဲ လိုက် ရှာ နေ တာ တ ကယ် စိတ် တို စ ရာ,Anger
anger,ငါ့ ကို လာ ပြီး စိန် ခေါ် ရင် ပြန် ချ ဖို့ အ သင့် ပဲ လို့ တွေး မိ တယ်,Anger
love,ငါ့ ရဲ့ မ နက် ခင်း တိုင်း က မင်း ကို သ တိ ရ ခြင်း နဲ့ စ တင် တယ်,Love
neutral,အောင် မြင် မှု တွေ နဲ့ ဝေး ကွာ လွန်း နေ ပြီ လို့ ကိုယ့် ကိုယ် ကိုယ် သတ် မှတ် မိ တဲ့ နေ့,Neutral
suprise,အ လို အ လျောက် ကား နဲ့ ခ ရီး ထွက် ခြင်း ကို စ တင် ခြင်း ၊ ခ ရီး သွား က လျှို့ ဝှက် ရ တ နာ တွေ ကို ရှာ ဖွေ တွေ့ ရှိ ပြီး ၊ တစ် သက် တာ တန် ဖိုး ထား ရ မယ့် အ မှတ် တ ရ တွေ ကို ဖန် တီး ခြင်း,Neutral
love,ပြ တိုက် တစ် ခု မှာ ပြ သ ထား တဲ့ အ နု ပ ညာ လက် ရာ တွေ အ တွက် ရို သေ လေး စား မှု,Love
sadness,ချစ် ရ တဲ့ သူ တွေ ရဲ့ ဥ ပေက် ခာ ပြု ခြင်း ကို ခံ ရ တဲ့ အ ခါ နှ လုံး သား တစ် ခု လုံး ကြေ မွ သွား ရ တယ်,Sadness
suprise,ဒီ နေ့ က တော့ ငါ့ ဘ ဝ ရဲ့ မ မျှော် လင့် ဘဲ အ ပျော် ဆုံး နေ့ တစ် နေ့ ဖြစ် သွား ခဲ့ ပြီ,Neutral
neutral,အေး စိမ့် တဲ့ ဆောင်း ရာ သီ ည နေ ခင်း မှာ ကို ကိုး ပူ ပူ တစ် ခွက် ရဲ့ နွေး ထွေး မှု ကို အ ရ သာ ခံ နေ ပါ တယ်,Neutral
sadness,မျက် ရည် တွေ က မိုး စက် တွေ လို ကျ ဆင်း နေ တယ် ၊ တန် ဖိုး ထား ရ တဲ့ သူ ငယ် ချင်း ဆက် ဆံ ရေး တစ် ခု ရဲ့ အ ဆုံး သတ် အ တွက် ဝမ်း နည်း ပူ ဆွေး နေ ခြင်း,Sadness
love,မင်း က ငါ့ အ တွက် တော့ အ စား ထိုး လို့ မ ရ တဲ့ တစ် ဦး တည်း သော သူ ပါ,Love
love,မင်း ကို မြင် လိုက် ရ တဲ့ အ ခိုက် အ တန့် က စ လို့ ငါ့ နှ လုံး သား က မင်း ဆီ ရောက် သွား တယ်,Love
joy,ချစ် စ ရာ ကောင်း တဲ့ အ မွှေး ပွ သူ ငယ် ချင်း လေး တစ် ကောင် ခု ပဲ မွေး စား လိုက် ပြီ !🐾,Joy
neutral,အ လုပ် ကိစ် စ အား လုံး ပြီး ပြတ် သွား လို့ စိတ် အေး လက် အေး နား နား နေ နေ နေ ရ တဲ့ အ ချိန်,Neutral
anger,ရွှေ ချ ထား တဲ့ ဆု တံ ဆိပ် ကို စိုက် ကြည့် နေ တဲ့ ငြူ စူ တဲ့ မျက် လုံး တွေ ၊ ထာ ဝ ရ လက် လှမ်း မ မီ ပုံ ပေါ် တဲ့ ပိုင် ဆိုင် မှု တွေ အ တွက် နာ ကျင် ဖွယ် ဆန် ဒ က တွန်း အား ပေး တဲ့ နှ လုံး သား နာ ကျင် မှု,Anger
anger,ကမ် ဘာ့ ပတ် ဝန်း ကျင် အ ခြေ အ နေ က တ ကယ် ကို စက် ဆုပ် စ ရာ ကောင်း တယ်,Anger
